2018-06-21 12:37:33 80.253.213.7 Request for          index.php Successfull - 'sessionKey'='719984', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'
2018-06-21 13:28:46 80.253.213.7 Request for          index.php Successfull - 'sessionKey'='789653', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 13:28:48 80.253.213.7 Request for sessionhandler.php Successfull - 'sessionKey'='789653', Next valid 'pageID'='7e4f31c4-72ce-458e-8f08-649cbe07dd70', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 13:28:48 80.253.213.7 Request for           shop.php Successfull - 'sessionKey'='789653', 'pageID'='7e4f31c4-72ce-458e-8f08-649cbe07dd70', Next valid 'pageID'='6d911e5d-a5e6-4638-a1f2-be063ba48c0d', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-21 13:28:48 80.253.213.7 Request for           cart.php Successfull - 'sessionKey'='789653', 'pageID'='6d911e5d-a5e6-4638-a1f2-be063ba48c0d', Next valid 'pageID'='7c28a136-d047-49c1-a9b0-e5943c5c9658', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' - Added Coffee, new amount: 354
2018-06-21 13:28:48 80.253.213.7 Request for       checkout.php Successfull - 'sessionKey'='789653', 'pageID'='7c28a136-d047-49c1-a9b0-e5943c5c9658', Next valid 'pageID'='f77e1a4d-fbbc-4969-818f-1ae2959d841d', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-21 14:16:42 80.253.213.7 Request for          index.php Successfull - 'sessionKey'='184308', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 14:16:45 80.253.213.7 Request for sessionhandler.php Successfull - 'sessionKey'='184308', Next valid 'pageID'='c7b2d813-f446-4fd6-a993-43139a49ba6e', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 14:16:45 80.253.213.7 Request for           shop.php Successfull - 'sessionKey'='184308', 'pageID'='c7b2d813-f446-4fd6-a993-43139a49ba6e', Next valid 'pageID'='aecf8ab3-76d4-4fa7-971b-506b72e88295', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-21 22:31:57 178.9.135.139 Request for          index.php Successfull - 'sessionKey'='717707', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 22:38:36 178.9.135.139 Request for          index.php Successfull - 'sessionKey'='398350', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 22:38:38 178.9.135.139 Request for sessionhandler.php Successfull - 'sessionKey'='398350', Next valid 'pageID'='3bbd6afc-2cbb-44c7-b299-c7c568f15526', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 22:38:38 178.9.135.139 Request for           shop.php Successfull - 'sessionKey'='398350', 'pageID'='3bbd6afc-2cbb-44c7-b299-c7c568f15526', Next valid 'pageID'='a9092c62-2158-4c58-aeb5-a864c9fec59a', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-21 22:38:39 178.9.135.139 Request for           cart.php Successfull - 'sessionKey'='398350', 'pageID'='a9092c62-2158-4c58-aeb5-a864c9fec59a', Next valid 'pageID'='fafc85d0-c370-4ea6-ab36-ccc4cd9fb907', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' - Added 10 manged LG's, new amount: 262
2018-06-21 22:38:39 178.9.135.139 Request for       checkout.php Successfull - 'sessionKey'='398350', 'pageID'='fafc85d0-c370-4ea6-ab36-ccc4cd9fb907', Next valid 'pageID'='acb228b6-b64d-4f39-81a4-1b041fbd587b', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-21 22:43:16 178.9.135.139 Request for sessionhandler.php Successfull - 'sessionKey'='717707', Next valid 'pageID'='a97eab3f-f326-41df-93b6-3342f3df25bb', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 22:43:16 178.9.135.139 Request for           shop.php Successfull - 'sessionKey'='717707', 'pageID'='a97eab3f-f326-41df-93b6-3342f3df25bb', Next valid 'pageID'='30b985e6-4fdc-4cb8-8f06-4e2e0e781824', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-21 23:17:01 178.9.135.139 Request for          index.php Successfull - 'sessionKey'='757241', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 23:17:04 178.9.135.139 Request for sessionhandler.php Successfull - 'sessionKey'='757241', Next valid 'pageID'='6619d9ac-84f5-4eda-8359-5a697504414b', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-21 23:17:05 178.9.135.139 Request for           shop.php Successfull - 'sessionKey'='757241', 'pageID'='6619d9ac-84f5-4eda-8359-5a697504414b', Next valid 'pageID'='411537de-10fe-448b-a878-4a12954a55d3', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-21 23:17:05 178.9.135.139 Request for           cart.php Successfull - 'sessionKey'='757241', 'pageID'='411537de-10fe-448b-a878-4a12954a55d3', Next valid 'pageID'='1adc6449-de51-47af-b853-08d51805083b', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' - Added Coffee, new amount: 91
