2018-06-23 13:42:20 188.101.216.149 Request for          index.php Successfull - 'sessionKey'='430456', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 13:42:23 188.101.216.149 Request for sessionhandler.php Successfull - 'sessionKey'='430456', Next valid 'pageID'='8f2f5e0c-fdf8-45e5-a810-1b1283448f8c', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 13:42:23 188.101.216.149 Request for           shop.php Successfull - 'sessionKey'='430456', 'pageID'='8f2f5e0c-fdf8-45e5-a810-1b1283448f8c', Next valid 'pageID'='7002eb6a-0bbb-4036-a6e0-118a2a211d3a', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-23 13:42:24 188.101.216.149 Request for           cart.php Successfull - 'sessionKey'='430456', 'pageID'='7002eb6a-0bbb-4036-a6e0-118a2a211d3a', Next valid 'pageID'='46d30b0b-f513-4e44-8a94-0931866608eb', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' - Added unmanged LG's, new amount: 1
2018-06-23 13:42:24 188.101.216.149 Request for       checkout.php Successfull - 'sessionKey'='430456', 'pageID'='46d30b0b-f513-4e44-8a94-0931866608eb', Next valid 'pageID'='24d98b37-e8c3-4635-82ae-942f163ba82d', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-23 14:57:13 188.101.216.149 Request for          index.php Successfull - 'sessionKey'='894656', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 14:57:16 188.101.216.149 Request for sessionhandler.php Successfull - 'sessionKey'='894656', Next valid 'pageID'='e7fdb8eb-a76a-4861-bf33-2dfb3f1b5ef0', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 14:57:16 188.101.216.149 Request for           shop.php Successfull - 'sessionKey'='894656', 'pageID'='e7fdb8eb-a76a-4861-bf33-2dfb3f1b5ef0', Next valid 'pageID'='74fb699e-960f-4da0-a019-f87e35b3ee71', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-23 14:57:16 188.101.216.149 Request for           cart.php Successfull - 'sessionKey'='894656', 'pageID'='74fb699e-960f-4da0-a019-f87e35b3ee71', Next valid 'pageID'='d7a58270-b4a5-4daf-85ae-3d7ef4240fdf', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' - Added 10 unmanged LG's, new amount: 469
2018-06-23 16:08:35 188.101.216.149 Request for          index.php Successfull - 'sessionKey'='746999', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 16:08:39 188.101.216.149 Request for sessionhandler.php Successfull - 'sessionKey'='746999', Next valid 'pageID'='6cf4aafb-df5a-47c7-a61e-81e92f0499e1', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 16:08:39 188.101.216.149 Request for           shop.php Successfull - 'sessionKey'='746999', 'pageID'='6cf4aafb-df5a-47c7-a61e-81e92f0499e1', Next valid 'pageID'='5f3e73c8-5c4a-4471-985f-bd98af909e85', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-23 16:08:39 188.101.216.149 Request for           cart.php Successfull - 'sessionKey'='746999', 'pageID'='5f3e73c8-5c4a-4471-985f-bd98af909e85', Next valid 'pageID'='29fcf625-9b98-4c1c-b376-58afaa000fa0', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' - Added managed LG, new amount: 508
2018-06-23 16:11:13 188.101.216.149 Request for          index.php Successfull - 'sessionKey'='204913', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 16:11:20 188.101.216.149 Request for sessionhandler.php Successfull - 'sessionKey'='204913', Next valid 'pageID'='b7a118fa-27ab-491f-ab51-6ba841638f1e', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 16:11:20 188.101.216.149 Request for           shop.php Successfull - 'sessionKey'='204913', 'pageID'='b7a118fa-27ab-491f-ab51-6ba841638f1e', Next valid 'pageID'='791b93f4-035f-425e-af95-ce09141a8271', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-23 16:11:52 188.101.216.149 ERROR (3.010) Request for cart.php with POST Parameter 'ctl_field27IDac5f730a-e0ce-40ef-bca2-9bdd0dc2ceb1', Value is 0 or not an Integer:'0'
2018-06-23 16:11:55 188.101.216.149 Request for           shop.php ERROR 2.006 - Mismatch between PHP Server-Session-Parameter 'pageID'='791b93f4-035f-425e-af95-ce09141a8271' and URL Parameter 'pageID'='b7a118fa-27ab-491f-ab51-6ba841638f1e', Next valid one will be '6613aae5-5f1b-4360-af94-3af17acb91f2'
2018-06-23 16:11:56 188.101.216.149 Request for          index.php Successfull - 'sessionKey'='195422', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 16:11:59 188.101.216.149 Request for sessionhandler.php Successfull - 'sessionKey'='195422', Next valid 'pageID'='5ac1a1fe-0c5d-4560-b447-aa227f6058e6', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-23 16:11:59 188.101.216.149 Request for           shop.php Successfull - 'sessionKey'='195422', 'pageID'='5ac1a1fe-0c5d-4560-b447-aa227f6058e6', Next valid 'pageID'='3a7f7e69-a091-49e1-a92a-879cb55dd2b3', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-23 16:14:40 188.101.216.149 Request for          index.php Successfull - 'sessionKey'='123737', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
